zipcode,city,lat,lon,state
12130,Niverville,42.4399830000,-73.6663430000,NY
00612,Urb Paseos Del Prado,18.4528424000,-66.7464487000,PR
00616,Brisas Del Valle,18.4253606000,-66.6742101000,PR
00641,Urb Estancias Del Vivi,18.2661460000,-66.7005065000,PR
15492,Wickhaven,40.1178280000,-79.7717970000,PA
13361,Jordanville,42.9643690000,-74.8812280000,NY
96703,Anahola,22.0557870000,-159.4545190000,HI
15948,Revloc,40.4640690000,-78.6853650000,PA
15501,Somerset,39.9900450000,-79.0874500000,PA
15620,Bradenville,40.3238450000,-79.3434210000,PA
15951,Saint Michael,40.3386150000,-78.7761370000,PA
16825,Bigler,40.9900060000,-78.3606120000,PA
15625,Darragh,40.3602230000,-79.4398010000,PA
17730,Dewart,41.1089100000,-76.8774910000,PA
13404,Martinsburg,43.8187050000,-75.4803420000,NY
18038,Danielsville,40.7907100000,-75.4829670000,PA
17254,Scotland,39.9695900000,-77.5848410000,PA
00624,Mans De Puerto Galexda,18.0758177000,-66.7486446000,PR
16853,Milesburg,40.9540800000,-77.7814650000,PA
00627,Urb Las Veredas,18.4251947000,-66.8677563000,PR
12124,New Baltimore,42.4441980000,-73.7882410000,NY
00631,Castaner,18.1807385000,-66.8340161000,PR
00637,Res Sabana,18.0932207000,-66.9749731000,PR
00638,Urb Verde Real,18.3092404000,-66.4866733000,PR
00950,Toa Baja,18.4461717000,-66.2554042000,PR
00951,Toa Baja,18.4445235000,-66.2550367000,PR
00954,Toa Alta,18.3892674000,-66.2499886000,PR
00958,Bayamon,18.3800000000,-66.1800000000,PR
00960,Bayamon,18.3930642000,-66.1548168000,PR
00963,Catano,18.4416828000,-66.1177768000,PR
00970,Guaynabo,18.3572090000,-66.1144800000,PR
00978,Saint Just,18.3702276000,-66.0100644000,PR
00986,Carolina,18.3807613000,-65.9566912000,PR
00955,San Juan,18.4489126000,-66.0592248000,PR
00937,San Juan,18.4607827000,-66.0881457000,PR
13420,Old Forge,43.7522030000,-74.8731760000,NY
13625,Colton,44.4216070000,-75.1050770000,NY
15485,Ursina,39.8173460000,-79.3306420000,PA
14821,Campbell,42.2629540000,-77.2154780000,NY
96719,Hawi,20.2227370000,-155.8182910000,HI
00984,Carolina,18.3807613000,-65.9566912000,PR
96726,Honaunau,19.2782980000,-155.8453290000,HI
13410,Nelliston,42.9378630000,-74.6117110000,NY
96733,Kahului,20.8666380000,-156.6466670000,HI
96742,Kalaupapa,20.8666380000,-156.6466670000,HI
16843,Hyde,41.0030070000,-78.4641890000,PA
15486,Vanderbilt,40.0106830000,-79.7507870000,PA
13806,Meridale,42.1830450000,-74.9256170000,NY
14512,Naples,42.6678020000,-77.4134960000,NY
00988,Carolina,18.3807613000,-65.9566912000,PR
14740,Gerry,42.2112900000,-79.1705190000,NY
08039,Harrisonville,39.6930670000,-75.2711140000,NJ
19549,Port Clinton,40.7225870000,-76.2296230000,PA
21793,Walkersville,39.4912470000,-77.3435420000,MD
16214,Clarion,41.1432740000,-79.4520510000,PA
18370,Swiftwater,41.1059030000,-75.3469130000,PA
34774,Harmony,41.0020708000,29.1230716000,FL
07633,Emerson,48.4214653000,21.6836236000,NJ
16634,Dudley,40.4025230000,-77.9669770000,PA
68000,Abie,,,NE
00602,Sect La Ceiba,18.3790869000,-67.1924590000,PR
30367,Atl,,,GA
14172,Wilson,43.2727290000,-78.8310100000,NY
98182,Duwamish,,,WA
69174,Wellfleet,,,NE
10513,Briarcliff,,,NY
53145,Kenosha,,,WI
16616,Beccaria,40.9891150000,-78.4224030000,PA
43827,Adams Mills,,,OH
52417,Cedar Rapids,,,IA
10700,Bronxville,,,NY
96748,Kaunakakai,21.0922660000,-157.0125330000,HI
02555,Menemsha,,,MA
96760,Kurtistown,19.5692770000,-155.0348590000,HI
15434,Elco,40.0804380000,-79.8758260000,PA
13478,Verona,43.1465020000,-75.5862180000,NY
14892,Waverly,42.1078250000,-76.5022180000,NY
18349,Pocono Manor,41.1226330000,-75.4588200000,PA
00646,Urb Laguna 1,18.4622387000,-66.2962203000,PR
96766,Lihue,22.0705530000,-159.4303280000,HI
00647,Urb Baco,17.9691828000,-66.9630594000,PR
96771,Mountain View,19.5349450000,-155.1256570000,HI
96781,Papaikou,19.7988780000,-155.1160930000,HI
96790,Kula,20.7537630000,-156.3294990000,HI
96714,Hanalei,22.2135920000,-159.4827960000,HI
96720,Hilo,19.5645190000,-155.2620300000,HI
00650,Repto Diana,18.3612903000,-66.5663670000,PR
16720,Austin,41.6150990000,-77.9579750000,PA
16724,Crosby,41.8010780000,-78.5797390000,PA
18635,Nescopeck,41.0490510000,-76.1891820000,PA
18661,White Haven,41.1145030000,-75.9091580000,PA
22709,Aroda,38.4285090000,-78.2678480000,VA
21840,Nanticoke,38.3884340000,-75.6276000000,MD
21648,Madison,38.4782050000,-76.2412020000,MD
15419,California,40.0689210000,-79.8731630000,PA
22716,Castleton,38.6241230000,-78.1023890000,VA
15952,Salix,40.2985740000,-78.7815920000,PA
14870,Painted Post,42.1597590000,-77.3824620000,NY
19709,Middletown,39.4857210000,-75.6775350000,DE
00652,Hacienda De Garrochales,18.4551549000,-66.5819231000,PR
16636,Dysart,40.6077200000,-78.5267830000,PA
16645,Glen Hope,40.9891150000,-78.4224030000,PA
14588,Willard,42.6834510000,-76.8724420000,NY
16731,Eldred,41.9413280000,-78.3619270000,PA
16732,Gifford,41.8010780000,-78.5797390000,PA
16874,Snow Shoe,40.9921460000,-78.0278650000,PA
16875,Spring Mills,40.8836800000,-77.5187160000,PA
17232,Lurgan,40.1054950000,-77.6404610000,PA
16421,Harborcreek,42.1729380000,-79.9376750000,PA
16427,Mill Village,41.8772600000,-79.9691680000,PA
15715,Big Run,40.9704480000,-78.8757990000,PA
18812,Brackney,41.8203460000,-75.8046300000,PA
96738,Waikoloa,19.9723710000,-155.8179870000,HI
96749,Keaau,19.5818730000,-155.0321040000,HI
96754,Kilauea,22.2073140000,-159.3953860000,HI
00653,Bo La Luna,17.9726834000,-66.9074624000,PR
96761,Lahaina,20.9198230000,-156.7176140000,HI
96767,Lahaina,20.8666380000,-156.6466670000,HI
96772,Naalehu,19.0521370000,-155.6225280000,HI
96777,Pahala,19.5934560000,-155.4380150000,HI
18815,Camptown,41.7719700000,-76.5212660000,PA
18439,Lakewood,41.8280810000,-75.3967410000,PA
16882,Woodward,40.8970810000,-77.4024190000,PA
22517,Mollusk,37.7502800000,-76.5781090000,VA
22718,Elkwood,38.4574730000,-77.8043430000,VA
21657,Queen Anne,38.9758820000,-75.9753220000,MD
22721,Graves Mill,38.4285090000,-78.2678480000,VA
21864,Stockton,38.0429320000,-75.4117890000,MD
22524,Mount Holly,38.1181860000,-76.6805040000,VA
00656,Urb Bahia Ii,18.0325027000,-66.7951370000,PR
96783,Pepeekeo,19.8194750000,-155.1063080000,HI
96793,Wailuku,20.9015360000,-156.5664930000,HI
96705,Eleele,21.9376540000,-159.6451620000,HI
15082,Sturgeon,40.3862630000,-80.2083160000,PA
15142,Presto,40.4024520000,-80.1668960000,PA
16127,Grove City,41.1708230000,-80.0895810000,PA
16635,Duncansville,40.5102780000,-78.4079820000,PA
17957,Muir,40.5925780000,-76.5160750000,PA
15683,Scottdale,40.3553500000,-79.5205440000,PA
00659,Sect Aviles,18.4862321000,-66.8253782000,PR
17944,Llewellyn,40.6757800000,-76.2819000000,PA
16343,Reno,41.4110180000,-79.7493410000,PA
17953,Middleport,40.7330720000,-76.0857830000,PA
16346,Seneca,41.3785810000,-79.7072120000,PA
26534,Granville,39.6276400000,-79.9429370000,WV
27577,Smithfield,35.5365430000,-78.3360010000,NC
24517,Altavista,37.2255430000,-79.2411800000,VA
15784,Worthville,41.1410790000,-78.9628770000,PA
28355,Lemon Springs,35.4675670000,-79.1653140000,NC
27310,Oak Ridge,36.1668220000,-79.9482140000,NC
25909,Prosperity,37.8381470000,-81.2003830000,WV
28037,Denver,35.4861340000,-81.0553000000,NC
22501,Ladysmith,38.0158990000,-77.5592980000,VA
29697,Williamston,34.5536420000,-82.6121230000,SC
28727,Edneyville,35.3222760000,-82.5032260000,NC
29703,Bowling Green,34.9926120000,-81.1787120000,SC
28730,Fairview,35.5291880000,-82.4047040000,NC
24604,Bishop,37.2033170000,-81.5574990000,VA
24606,Boissevain,37.1354900000,-81.5634060000,VA
27358,Summerfield,36.2000190000,-79.8800280000,NC
00623,Qtas Del Deportivo,18.0374812000,-67.1536993000,PR
28429,Castle Hayne,34.3299320000,-77.8874770000,NC
29532,Darlington,34.3177380000,-79.9316550000,SC
23314,Carrollton,36.9565050000,-76.5427830000,VA
24881,Roderfield,37.3752460000,-81.6538890000,WV
22812,Bridgewater,38.3456320000,-78.8545970000,VA
14130,Pike,42.5431080000,-78.1538490000,NY
14537,Port Gibson,43.0330020000,-77.1574650000,NY
96721,Hilo,19.5934560000,-155.4380150000,HI
96728,Honomu,19.5934560000,-155.4380150000,HI
96745,Kailua Kona,19.5934560000,-155.4380150000,HI
96750,Kealakekua,19.3439130000,-155.8749230000,HI
96755,Kapaau,20.2261010000,-155.7769570000,HI
96763,Lanai City,20.8128540000,-156.9528300000,HI
96768,Makawao,20.8326640000,-156.3202420000,HI
96773,Ninole,19.9350470000,-155.1668210000,HI
96778,Pahoa,19.3900230000,-155.1522680000,HI
96784,Puunene,20.8666380000,-156.6466670000,HI
96796,Waimea,21.9667090000,-159.6861930000,HI
96708,Haiku,20.8496750000,-156.1656220000,HI
96716,Hanapepe,22.0204890000,-159.6177650000,HI
96722,Princeville,22.2192310000,-159.4865620000,HI
96729,Hoolehua,21.1630560000,-157.0766000000,HI
96740,Kailua Kona,19.6741230000,-155.9365650000,HI
96746,Kapaa,22.0741970000,-159.4061970000,HI
96751,Kealia,22.1059550000,-159.3084710000,HI
96756,Koloa,22.0283790000,-159.4329920000,HI
96764,Laupahoehoe,19.9851660000,-155.2484290000,HI
96769,Makaweli,21.9454280000,-159.9213510000,HI
96774,Ookala,20.0150600000,-155.2809740000,HI
16682,Sproul,40.2711260000,-78.4587800000,PA
17920,Aristes,40.8166960000,-76.3502790000,PA
00617,Isla De Roque Estates,18.4489545000,-66.5342963000,PR
26451,West Milford,39.1996060000,-80.4025600000,WV
00622,Villa Taina,17.9796201000,-67.2043449000,PR
30548,Hoschton,34.0990310000,-83.7181700000,GA
14542,Rose,43.1447950000,-76.8607790000,NY
36025,Elmore,32.6329540000,-86.1345530000,AL
05825,Coventry,44.7756070000,-72.2264100000,VT
22973,Stanardsville,38.3120570000,-78.4820140000,VA
23083,Jetersville,37.3221560000,-78.1216310000,VA
23084,Kents Store,37.8484080000,-78.2773930000,VA
24598,Virgilina,36.6164520000,-78.7986860000,VA
24818,Brenton,37.6033440000,-81.5399800000,WV
24882,Simon,37.6033440000,-81.5399800000,WV
24528,Brookneal,37.1175020000,-79.0742790000,VA
96779,Paia,20.9042750000,-156.3735060000,HI
00662,Sect Rincon,18.4561305000,-67.0226297000,PR
17930,Cumbola,40.7113560000,-76.1391620000,PA
96785,Volcano,19.4405230000,-155.2505690000,HI
96710,Hakalau,19.9116890000,-155.1484830000,HI
96725,Holualoa,19.6189040000,-155.9483080000,HI
26323,Anmoore,39.2586710000,-80.2875440000,WV
96732,Kahului,20.8592440000,-156.2591660000,HI
96741,Kalaheo,21.9259090000,-159.5302540000,HI
96747,Kaumakani,21.9454280000,-159.9213510000,HI
33928,Estero,26.4722740000,-81.7059020000,FL
96752,Kekaha,21.9712850000,-159.7137920000,HI
24602,Bandy,36.9994840000,-81.7951400000,VA
25011,Bancroft,38.5085590000,-81.8410020000,WV
24824,Coalwood,37.3752460000,-81.6538890000,WV
24887,Switchback,37.3752460000,-81.6538890000,WV
24984,Waiteville,37.4898720000,-80.4204870000,WV
24825,Crumpler,37.3752460000,-81.6538890000,WV
24271,Nickelsville,36.7629540000,-82.3990150000,VA
24993,Wolfcreek,37.5520290000,-80.5396720000,WV
23436,Suffolk,36.8868560000,-76.5233880000,VA
00664,Alts De Borinquen,18.2229651000,-66.5938303000,PR
20155,Gainesville,38.8157140000,-77.6216130000,VA
00667,Alts De San Blas,18.0033418000,-67.0583740000,PR
00669,Haciendas De Borinquen Ii,18.2932055000,-66.8837495000,PR
37189,Whites Creek,36.2766520000,-86.8320480000,TN
37302,Apison,35.0175720000,-85.0189140000,TN
34772,Saint Cloud,28.1726690000,-81.2689900000,FL
23011,Barhamsville,37.4795240000,-76.9499810000,VA
21053,Freeland,39.6871030000,-76.7176440000,MD
23347,Eastville,37.3560570000,-75.9649390000,VA
23106,Manquin,37.7330930000,-77.2068680000,VA
23108,Mascot,37.7018230000,-76.9162480000,VA
22624,Clear Brook,39.2718650000,-78.0997630000,VA
96757,Kualapuu,21.1610100000,-157.0254400000,HI
96765,Lawai,21.9309220000,-159.4993420000,HI
96770,Maunaloa,21.1763570000,-157.2571570000,HI
96775,Paauhau,19.5934560000,-155.4380150000,HI
96780,Papaaloa,19.9641380000,-155.2012670000,HI
24618,Harman,37.2879920000,-82.0274080000,VA
24536,Coleman Falls,37.4964330000,-79.3058380000,VA
24620,Hurley,37.2879920000,-82.0274080000,VA
24832,English,37.3752460000,-81.6538890000,WV
25088,Glen,38.4657770000,-81.0506620000,WV
21770,Monrovia,39.3515520000,-77.2658180000,MD
30213,Fairburn,33.5914620000,-84.6089070000,GA
21773,Myersville,39.5500360000,-77.5562750000,MD
21035,Davidsonville,39.0429600000,-76.6286300000,MD
00660,Paseo Los Peregrinos,18.1396704000,-67.1273268000,PR
21047,Fallston,39.5312060000,-76.4390350000,MD
20169,Haymarket,38.8674410000,-77.6445390000,VA
27014,Cooleemee,35.8191750000,-80.5482600000,NC
00670,Urb Lavergne,18.2449261000,-67.0096792000,PR
38632,Hernando,34.8068400000,-89.9945910000,MS
30248,Locust Grove,33.3721110000,-84.1156450000,GA
31326,Rincon,32.2852050000,-81.2875260000,GA
33853,Lake Wales,27.9918650000,-81.4808310000,FL
00676,Urb Monte Verde Hills,18.3955528000,-67.1170037000,PR
00682,Repto San Francisco,18.2323231000,-67.1060353000,PR
32536,Crestview,30.7135910000,-86.5574780000,FL
33859,Lake Wales,27.8853590000,-81.5229980000,FL
30725,Flintstone,34.8468430000,-85.2380410000,GA
32539,Crestview,30.7772940000,-86.4831540000,FL
16344,Rouseville,41.4717140000,-79.6880570000,PA
36008,Booth,32.5016490000,-86.5727110000,AL
33837,Davenport,28.1640930000,-81.6473170000,FL
21914,Charlestown,39.5743870000,-75.9785640000,MD
31820,Midland,32.5657820000,-84.8509530000,GA
24126,Newbern,37.0692060000,-80.6890670000,VA
25265,New Haven,38.9863190000,-81.9651750000,WV
32563,Gulf Breeze,30.6591590000,-87.0497200000,FL
34453,Inverness,28.8722560000,-82.3454110000,FL
33872,Sebring,27.3938040000,-81.2870760000,FL
35071,Gardendale,33.7061500000,-86.8482890000,AL
33877,Waverly,27.9768830000,-81.6144140000,FL
27235,Colfax,36.0944890000,-80.0047210000,NC
29016,Blythewood,34.1047580000,-80.9189190000,SC
33957,Sanibel,26.4583080000,-82.1000650000,FL
35119,New Castle,33.6508320000,-86.7696980000,AL
35649,Mooresville,34.6258770000,-86.8746410000,AL
37135,Nolensville,35.9252010000,-86.6753490000,TN
37772,Lenoir City,35.7872430000,-84.2566790000,TN
34661,Nobleton,28.6436400000,-82.2638360000,FL
00674,Urb Linda Mar,18.4204876000,-66.4866733000,PR
28610,Claremont,35.7302130000,-81.1269300000,NC
23168,Toano,37.3941380000,-76.8354150000,VA
36362,Fort Rucker,31.3273470000,-85.7378110000,AL
24854,Kopperston,37.7439670000,-81.5749860000,WV
21718,Burkittsville,39.4008680000,-77.6279540000,MD
33897,Davenport,28.3000000000,-81.6600000000,FL
34711,Clermont,28.5840250000,-81.7794230000,FL
00677,Punta Del Mar Beach Vlg,18.3069824000,-67.2341377000,PR
27302,Mebane,36.0871140000,-79.3060930000,NC
43927,Fairpoint,40.1224500000,-80.9380310000,OH
45358,Pitsburg,39.9870430000,-84.4865820000,OH
46947,Logansport,40.7792700000,-86.3751680000,IN
00678,Hacienda La Sabana,18.4736828000,-66.9385578000,PR
43078,Urbana,40.1217220000,-83.7973120000,OH
46958,Mexico,40.8223840000,-86.1161890000,IN
45855,Latty,41.0771200000,-84.5830050000,OH
44671,Sandyville,40.6441740000,-81.3652540000,OH
40048,Nazareth,37.7569410000,-85.4467100000,KY
25871,Mabscott,37.7700120000,-81.2102530000,WV
32735,Grand Island,28.9044290000,-81.7436340000,FL
48821,Dimondale,42.6543350000,-84.6541810000,MI
39576,Waveland,30.2850460000,-89.3712310000,MS
46989,Upland,40.4559850000,-85.6251200000,IN
42402,Baskett,37.7789110000,-87.6012400000,KY
43542,Monclova,41.5772510000,-83.7723780000,OH
45617,Bourneville,39.2803880000,-83.1589910000,OH
44690,Winesburg,40.6165360000,-81.6817070000,OH
43571,Whitehouse,41.5096020000,-83.8017890000,OH
45674,Rio Grande,38.8814470000,-82.3782130000,OH
00680,Urb Paraiso De Mayaguez,18.1825195000,-67.1412784000,PR
47114,Crandall,38.2898820000,-86.0823900000,IN
46507,Bristol,41.7129830000,-85.8248450000,IN
40383,Versailles,37.9987620000,-84.7376660000,KY
43408,Clay Center,41.5685990000,-83.3632240000,OH
44613,Brewster,40.7142080000,-81.5957460000,OH
44828,Flat Rock,41.2370700000,-82.8597050000,OH
44687,Walnut Creek,40.5515750000,-81.7284160000,OH
46502,Atwood,41.2540350000,-85.9697080000,IN
47545,Ireland,38.4136870000,-87.0008790000,IN
43458,Rocky Ridge,41.5301570000,-83.2127600000,OH
46957,Matthews,40.3898310000,-85.4766190000,IN
40422,Danville,37.6360060000,-84.8496820000,KY
46048,Ingalls,39.9572900000,-85.7980780000,IN
43040,Marysville,40.2676510000,-83.3766320000,OH
00683,Qtas De La Ceiba,18.0799420000,-67.0451048000,PR
00685,Villas De Piedra Blanca,18.3354598000,-66.9946270000,PR
46067,Sedalia,40.3044730000,-86.4690440000,IN
47670,Princeton,38.3033690000,-87.5340030000,IN
00704,Sect Lanausse,17.9599917000,-66.2314272000,PR
00705,Praderas De Aibonito,18.1354030000,-66.2605176000,PR
52168,Spillville,43.2031950000,-91.9440550000,IA
52758,Mc Causland,41.7430480000,-90.4539050000,IA
46045,Goldsmith,40.2898360000,-86.1494230000,IN
40067,Simpsonville,38.2238610000,-85.3606250000,KY
45716,Buchtel,39.4522470000,-82.1794230000,OH
43064,Plain City,40.0579010000,-83.3073230000,OH
47021,Friendship,38.9702660000,-85.1503900000,IN
48895,Williamston,42.6804340000,-84.2712150000,MI
47853,Harmony,39.5371990000,-87.0728880000,IN
47857,Knightsville,39.5269130000,-87.0868820000,IN
49894,Wells,45.7882160000,-87.0784540000,MI
00687,Urb Riveras De Unibon,18.3317609000,-66.4033423000,PR
52317,North Liberty,41.7639440000,-91.6047980000,IA
00688,Mans De Manantiales,18.3704881000,-66.6697443000,PR
00690,Sect Campo Alegre,18.5121770000,-67.0866619000,PR
47983,Stockwell,40.2845110000,-86.7724360000,IN
46581,Warsaw,41.2393650000,-85.8642670000,IN
46582,Warsaw,41.2542250000,-85.8495080000,IN
49053,Galesburg,42.3032410000,-85.3957980000,MI
45070,West Elkton,39.5946860000,-84.5468200000,OH
37686,Piney Flats,36.4491420000,-82.3407310000,TN
43618,Oregon,41.6569480000,-83.3991290000,OH
46144,Gwynneville,39.6617200000,-85.6476340000,IN
37174,Spring Hill,35.7123810000,-86.9016610000,TN
48440,Hadley,42.9306200000,-83.3600130000,MI
53527,Cottage Grove,43.0711650000,-89.1969960000,WI
00692,Urb Vega Dorada,18.4017996000,-66.3438275000,PR
53080,Saukville,43.4325440000,-87.9475370000,WI
38672,Southaven,34.9474070000,-89.9257920000,MS
00707,Jard Los Almendros,18.0126754000,-65.9155215000,PR
48896,Winn,43.5308320000,-84.9062890000,MI
51355,Okoboji,43.4290060000,-95.0775990000,IA
48611,Auburn,43.6394440000,-84.0591410000,MI
49281,Somerset,42.0230260000,-84.3793910000,MI
37828,Norris,36.2004760000,-84.0857850000,TN
46748,Huntertown,41.2379880000,-85.1594370000,IN
43842,Trinway,40.1433230000,-81.9950160000,OH
46783,Roanoke,40.9544460000,-85.3938680000,IN
49125,Sawyer,41.8997330000,-86.5713250000,MI
52030,Andrew,42.1640530000,-90.6107400000,IA
66018,De Soto,38.9461560000,-94.9714300000,KS
61371,Triumph,41.4990890000,-89.0218810000,IL
62695,Woodson,39.6189030000,-90.2257380000,IL
66019,Clearview City,38.9460410000,-95.0036610000,KS
00693,Ceiba Sabana,18.4207207000,-66.4033423000,PR
36065,Pine Level,32.0725850000,-86.0605860000,AL
53812,Kieler,42.8593250000,-90.7913370000,WI
70037,Belle Chasse,29.6200920000,-89.7716380000,LA
49829,Escanaba,45.8513430000,-87.0570490000,MI
56201,Willmar,45.1471040000,-94.9777230000,MN
49845,Harris,45.6921780000,-87.3513420000,MI
61742,Goodfield,40.6612480000,-89.2896520000,IL
56379,Sauk Rapids,45.6548290000,-94.0735330000,MN
70551,Leonville,30.4751940000,-91.9737360000,LA
00698,Hacienda Mariani,18.0655998000,-66.8439324000,PR
70093,Belle Chasse,29.5300000000,-89.7900000000,LA
00703,Est Del Rio,18.2646735000,-66.1720152000,PR
00714,Calle Estancias De Mirasol,17.9870515000,-66.0582490000,PR
62915,Cambria,37.7846570000,-89.1181110000,IL
68007,Bennington,41.3570150000,-96.2033930000,NE
36435,Coy,31.8718030000,-87.4128930000,AL
